English;adcovtle;Notes (adcovtle);Data Comprehension (adcovtle);Part of Speech (adcovtle);Difficulty (adcovtle);we;Notes (we);Data Comprehension (we);Avamants Logetavys;Notes (Avamants Logetavys);Data Comprehension (Avamants Logetavys);Šelva Enkan;Notes (Šelva Enkan);Data Comprehension (Šelva Enkan);Wàmèrìʒá;Notes (Wàmèrìʒá);Data Comprehension (Wàmèrìʒá);Quərfi;Notes (Quərfi);Data Comprehension (Quərfi);Proto-Kwerfia;Notes (Proto-Kwerfia);Data Comprehension (Proto-Kwerfia);Senta Grèstilsa;Notes (Senta Grèstilsa);Data Comprehension (Senta Grèstilsa);Mēeu Gēo;Notes (Mēeu Gēo);Data Comprehension (Mēeu Gēo);Ongrèstilsa;Notes (Ongrèstilsa);Data Comprehension (Ongrèstilsa);Qsek'a;Notes (Qsek'a);Data Comprehension (Qsek'a);B´andve;Notes (B´andve);Data Comprehension (B´andve);Opetfi;Notes (Opetfi);Data Comprehension (Opetfi);Cjëmta;Notes (Cjëmta);Data Comprehension (Cjëmta);Fashiikéfa;Notes (Fashiikéfa);Data Comprehension (Fashiikéfa);peküzhí Nakiwá;Notes (peküzhí Nakiwá);Data Comprehension (peküzhí Nakiwá);Łok'aqe;Notes (Łok'aqe);Data Comprehension (Łok'aqe);Q'ucnaimxk'uł7;Notes (Q'ucnaimxk'uł7);Data Comprehension (Q'ucnaimxk'uł7);Dreeenuce;Notes (Dreeenuce);Data Comprehension (Dreeenuce);Wilakana;Notes (Wilakana);Data Comprehension (Wilakana);Çalbaça;Notes (Çalbaça);Data Comprehension (Çalbaça);Ligu magyk;Notes (Ligu magyk);Data Comprehension (Ligu magyk);Proto-North-Ovøta;Notes (Proto-North-Ovøta);Data Comprehension (Proto-North-Ovøta);çymtoçamao - 5000 BC;Notes (çymtoçamao - 5000 BC);Data Comprehension (çymtoçamao - 5000 BC);çyntoçana - 2000 BC;Notes (çyntoçana - 2000 BC);Data Comprehension (çyntoçana - 2000 BC);Proto-Çuço;Notes (Proto-Çuço);Data Comprehension (Proto-Çuço);Çúaço aʃoevújaço;Notes (Çúaço aʃoevújaço);Data Comprehension (Çúaço aʃoevújaço);Español;Français;last column (leave blank and insert to left)
uncle;zuadaðmi;married to parent's sibling;zuadaðmi;noun;;;;;;;;;;;kézíbà;animate, -;keziba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;çunmeno;;çunmeno;çynneno;;çynneno;;;;;;;;;
aunt;zuadaðmi;married to parent's sibling;zuadaðmi;noun;;;;;;;;;;;kèzìbà;animate, -;keziba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;denmeno;;denmeno;denneno;;denneno;;;;;;;;;
cousin;ciadaðmi;;ciadaðmi;noun;;;;;;;;;;;tógèzìbà;animate, -;togeziba;;;;korisro;;korisro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;çunpefao;(male);çunpefao;çyntesa;(male);çyntesa;;;;;;;;;
cousin;ciadaðmi;;ciadaðmi;noun;;;;;;;;;;;tógèzìbà;animate, -;togeziba;;;;korisro;;korisro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;denpefao;(female);denpefao;dentesa;(female);dentesa;;;;;;;;;
half-sibling;ciaðmi;;ciaðmi;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
half-brother;ciaðmilan;;ciaðmilan;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
half-sister;ciaðmiðra;;ciaðmiðra;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
step-sibling;ciaðmi;;ciaðmi;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
step-brother;ciaðmilan;;ciaðmilan;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
step-sister;ciaðmiðra;;ciaðmiðra;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
family;claga;;claga;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sü wasíye;go yazhiká;sü wasiye;;;;;;;;;;;;;;;;;;;;;;medoco;;medoco;medocø;;medocø;;;;;;;;;
friend;blimi;;blimi;noun;;;;;;;;;;;rìêtnà;animate, -;riêtna;;;;frienda;animate;frienda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monday;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sun;soli;;soli;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tʃumtθikat'ota;;tʃumtθikat'ota;;;;;;;zjëmzjâ;masculine;zjëmzjâ;pskiin;solar (obviously);pskiin;ta peí;go yazhiká;ta pei;;;;;;;;;;;;;;;;;;;;;;erøno;;erøno;erøno;;erøno;;;;;;;;;
moon;orbo;;orbo;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nomgjë;feminine;nomgjë;óón;lunar (obviously);óón;;;;;;;;;;;;;;;;;;;;;;;;;sny;;sny;sny;;sny;çuço;;çuço;çúaço;;çúaço;;;
star;elvlai;;elvlai;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;etetsa;;etetsa;etetsə;;etetsə;;;;;;;;;
frost;losi;;losi;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
heat;þalo;;þalo;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to melt;afango;;afango;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1st month;atawiþi;;atawiþi;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2nd month;losi;;losi;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3rd month;afangi;;afangi;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4th month;atasoli;;atasoli;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5th month;vlori;;vlori;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6th month;baðatrepavi;;baðatrepavi;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7th month;soli;;soli;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8th month;pavi;;pavi;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9th month;þali;;þali;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10th month;seci;;seci;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11th month;beni;;beni;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12th month;marli;;marli;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13th month;glimeri;;glimeri;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14th month;gerongoni;;gerongoni;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15th month;pecatri;;pecatri;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;hetati;removed from calendar;hetati;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16th month;gemuglu;;gemuglu;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
harvest;gerongon;;gerongon;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to harvest;agerongon;;agerongon;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
magic;wizadria;;wizadria;noun;;;;;;;;;;;kálààlè;magic, -ì;kalaale;kəladr;magic, -;kəladr;kaladri;;kaladri;pabax;;pabax;;;;pabaxe;;pabaxe;;;;;;;;;;;;;;;;sha zhináse;go yazhiká, only traditional magic, not gemstone magic;ša žinase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to visit;avarila;;avarila;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ticket;bil;;bil;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gold;toþa;;toþa;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
silver;atlið;;atlið;noun;;;;;;;;;;;;;;drir;;drir;driri;;driri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to have the property of;;;;;;;;;;;;;;;télìbè;;telibe;;;;dripot ;;dripot ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
please;fango;;fango;interjection;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
only;jede;;jede;adverb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
open;ave;;ave;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
closed;pave;;pave;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to give birth;ablu;;ablu;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
birth;blu;;blu;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
birthday;daðblu;;daðblu;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
after;gabri;;gabri;adverb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;goshú;;gošu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
before;adbri;;adbri;adverb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;epéta;;epeta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chapter;capit;;capit;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to shine;asoli;;asoli;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pjom;;pjom;;;;;;;zjômudi;;zjômudi;;;;;;;;;;;;;;;;;;;;;;;;;;;;erønju;;erønju;erønʝy;;erønʝy;;;;;;;;;
today;adeda;;adeda;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tomorrow;ñota;;ñota;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;monjidi;;monjidi;monʝide;;monʝide;;;;;;;;;
morning;ñota;;ñota;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
afternoon;tevli;;tevli;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yesterday;tevli;;tevli;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bright;glo;;glo;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rudçe;;rudçe;rudça;;rudça;;;;;;;;;
brightly;glonet;;glonet;adverb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rudçe;;rudçe;rudça;;rudça;;;;;;;;;
up;aðolio;;aðolio;preposition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;öná;;öna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
down;aðerþ;;aðerþ;preposition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;desú;;desu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to rise;ataðolio;;ataðolio;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;öná peké;peké is irregular;öna peke;;;;;;;;;;;;;;;;;;;;;;ʝoteju;;ʝoteju;ʝøteʝy;;ʝøteʝy;;;;;;;;;
to fall;ataðerþ;;ataðerþ;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;desú peké;peké is irregular;desu peke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sky;olio;;olio;noun;;;;;;;;;;;;;;həri;animate, -;həri;haria;;haria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;saça;;saça;saçə;;saçə;;;;;;;;;
to speak;apalavli;;apalavli;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to talk;apalavli;;apalavli;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to shout;apalavligli;;apalavligli;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
language;palavli;;palavli;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to curse;apalavligli;;apalavligli;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
some;giþma;;giþma;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
many;giþmagli;;giþmagli;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
time;zita;;zita;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
often;turvi;;turvi;adverb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
frequently;turvi;;turvi;adverb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to jump;ebowa;;ebowa;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cat;feñafa;;feñafa;noun;;;;;;;;;;;òòbá;;ooba;otp;;otp;otpat;;otpat;;;;;;;;;;k'afemta;;k'afemta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ømo;;ømo;øno;;øno;;;;;;;;;
nowhere;novici;;novici;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to play;ajos;;ajos;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cow;;;;;;;;;;;;;;;òòbà;;ooba;okp;;okp;okpat;;okpat;;;;;;;;;;;;;;;;;;;;;;faskámóó;underground;faskámóó;;;;;;;;;;;;;;;;;;;;;;;;;møno;;møno;møno;;møno;hofava;;hofava;hfáv;;hfáv;;;
to hope;esleta;;esleta;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
face;;;;;;;;;;;;;;;àlàdè;inanimate, -;alade;fəla;inanimate, -d;fəla;falati;inanimate;falati;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
neck;;;;;;;;;;;;;;;mõnòlù;(front) inanimate, -t;mõnolu;;;;monolie;inanimate;monolie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
neck;;;;;;;;;;;;;;;tòlù;(back) inanimate, -t;tolu;;;;dolie;inanimate;dolie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chest;;;;;;;;;;;;;;;òlõnò;inanimate, -;olõno;;;;folone;inanimate;folone;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
belly;;;;;;;;;;;;;;;òlõnò;inanimate, -;olõno;;;;folone;inanimate;folone;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
back;;;;;;;;;;;;;;;tírînè;inanimate, -;tirîne;;;;tirine;inanimate;tirine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
leg;ðoc;;ðoc;;;;;;;;;;;;wèrìlìzá;animate, -;weriliza;;;;vrilisa;animate;vrilisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hand;helda;;helda;noun;;;;;;;;;;;kàlìzá;animate, -;kaliza;;;;galisa;animate;galisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fifteen;on sba seb;;on sba seb;number;;;;;;;;;;;tînàgélèè;;tînagelee;;;;tinagros;;tinagros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
twenty;do sba;;do sba;number;;;;;;;;;;;sèràgélèè;;seragelee;;;;zeragros;;zeragros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
twenty-five;do sba seb;;do sba seb;number;;;;;;;;;;;hólùhlà;;holuhla;;;;hruhra;;hruhra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thirty;tes sba;;tes sba;number;;;;;;;;;;;tésé sétúsé;;tese setuse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
black;nul;;nul;adjective;;;;;;;;;;;nùr;;nur;;;;nur;;nur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
white;blac;;blac;adjective;;;;;;;;;;;plàà;;plaa;;;;blak;;blak;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stream;tirivlé;;tirivle;noun;;;;;;;;;;;rérìwèrè;;reriwere;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
or;ot;;ot;conjunction;;;;;;;;;;;pélè;;pele;;;;bri;;bri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
but;pe;;pe;conjunction;;;;;;;;;;;àbólò;;abolo;;;;abro;;abro;;;;;;;;;;;;;;;;;;;;;;;;;mané;;mane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
book;leafil;;leafil;noun;;;;;;;;;;;lèáwìlè;magic, -;leawile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
magician;wizadriat;;wizadriat;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
philosopher;wizadriat;;wizadriat;noun;;;;;;;;;;;tólùmà;;toluma;;;;truma;;truma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
liquid;jaliba;;jaliba;noun;;;;;;;;;;;rììdè;;riide;;;;rikte;;rikte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gem;oraci;;oraci;noun;;;;;;;;;;;òràcù;;oracu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ki oyáki;go numúge;ki oyaki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rare;infi;;infi;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
common;petinfi;;petinfi;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flexible;jaþan;;jaþan;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strong;grasma;;grasma;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
young;jov;;jov;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
male;lan;;lan;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;çunɣi;;çunɣi;çynɣe;;çynɣe;;;;;;;;;
female;ðra;;ðra;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;denɣi;;denɣi;denɣe;;denɣe;;;;;;;;;
war;gar;;gar;noun;;;;;;;;;;;;;;;;;;;;ranxe;;ranxe;;;;ranxe;;ranxe;;;;;;;;;;;;;èkhèèfe;solar;èkhèèfe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mystery;winaþu;;winaþu;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
town;tijavlu;;tijavlu;noun;;;;;;;;;;;;;;;;;;;;;;;biivīo;;biivīo;bívilo;;bívilo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
calendar;dadera;;dadera;noun;;;;;;;;;;;;;;;;;;;;;;;īōia ;;īōia ;ilonia;;ilonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
year;dadera;;dadera;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
month;i;;i;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
